State Bank of India
Bank of Baroda 
Punjab National Bank
Union Bank of India
Canara Bank 
Indian Bank 
Indian Overseas Bank
Bank of India 
UCO Bank 
Bank of Maharashtra
Central Bank of India
Punjab & Sind Bank
HDFC Bank 
ICICI Bank 
Kotak Mahindra Bank Ltd
Axis Bank 
IDBI Bank 
IndusInd Bank 
Yes Bank 
Federal Bank 
IDFC First Bank 
AU Small Finance Bank Ltd
Bandhan Bank 
Karur Vysya Bank Ltd
City Union Bank 
Jammu and Kashmir Bank Ltd
RBL Bank 
Ujjivan Small Finance Bank Ltd
Equitas Small Finance Bank Ltd
Karnataka Bank 
Tamilnad Mercantile Bank Ltd
South Indian Bank Ltd
CSB Bank 
Jana Small Finance Bank Ltd
DCB Bank 
Utkarsh Small Finance Bank Ltd
ESAF Small Finance Bank Ltd
Suryoday Small Finance Bank Ltd
Capital Small Finance Bank Ltd
Dhanlaxmi Bank 
